CUSTOMER_ID,NUM_MONTHS_AS_CUSTOMER,LTV,WEEKS_SINCE_LAST_PURCHASE
4064050,7,1309.00,2
4064051,48,18288.00,9
4064052,19,1026.00,10
4064053,47,18048.00,8
4064054,27,1647.00,7
4064055,3,501.00,3
4064036,22,6996.00,6
4064037,33,6435.00,11
4064038,48,960.00,7
4064039,6,1986.00,3
4064040,42,3864.00,8
4064041,5,2695.00,4
4064042,51,22848.00,3
4064043,6,2886.00,2
4064044,36,17100.00,10
4064045,9,3339.00,2
4064046,48,20832.00,6
4064047,20,6140.00,4
4064032,9,4914.00,3
4064033,1,205.00,5
4064034,22,6402.00,8
4064035,46,7360.00,11
4064057,27,13311.00,14
4064058,38,16568.00,12
4064059,27,4023.00,7
4064067,24,5784.00,6
4064068,52,884.00,13
4064069,9,2205.00,1
4064070,21,2688.00,14
4064071,10,2360.00,3
4064063,49,6174.00,7
4064064,35,420.00,9
4064065,24,4824.00,9
4064066,47,16967.00,5
4064056,9,2628.00,5
4064060,21,7770.00,8
4064061,33,1518.00,6
4064062,17,3774.00,3
4064072,41,1394.00,3
4064073,27,14985.00,4
4064074,8,2152.00,2
4064075,11,5368.00,8
4064076,29,14210.00,6
4064077,23,1978.00,7
4064081,38,5510.00,6
4064082,30,5310.00,4
4064083,52,12220.00,7
4064078,27,10719.00,10
4064079,38,5700.00,5
4064080,51,19686.00,12
4064084,40,16920.00,14
4064085,23,7429.00,6
4064086,15,7485.00,9
4064089,3,810.00,1
4064090,21,10626.00,3
4064091,52,6032.00,3
4064092,4,1568.00,4
4064087,39,8814.00,7
4064088,45,20520.00,11
4064093,16,3120.00,13
4064094,27,15147.00,11
4064095,20,10280.00,11
4064096,7,609.00,5
4064097,38,17670.00,8
4064099,43,14964.00,12
4064100,5,2205.00,2
4064101,30,17430.00,8
4064102,48,22704.00,14
4064103,23,10258.00,5
4064104,48,26784.00,9
4064105,11,594.00,9
4064106,14,5544.00,10
4064098,3,777.00,3
4064048,24,7152.00,12
4064049,7,2527.00,5
4064110,48,13152.00,9
4064111,33,7821.00,4
4064112,30,5100.00,3
4064113,39,4680.00,13
4064107,6,3090.00,2
4064108,43,3010.00,5
4064109,18,720.00,5
4064114,49,19404.00,7
4064115,19,570.00,11
4064116,40,1320.00,9
4064117,16,9408.00,14
4064118,33,18777.00,12
4064120,12,6036.00,9
4064121,11,1331.00,12
4064122,46,16928.00,8
4064123,31,7347.00,9
4064124,22,10208.00,6
4064125,39,4563.00,8
4064126,44,2288.00,7
4064127,4,756.00,2
4064119,9,1890.00,3
4064128,22,4862.00,14
4064129,18,4968.00,10
4064130,50,6400.00,4
4064132,9,3402.00,3
4064133,51,7650.00,13
4064134,19,7296.00,13
4064135,3,123.00,4
4064131,49,13769.00,3
4064136,44,8932.00,12
4064137,41,10004.00,12
4064138,22,880.00,12
4064139,47,12925.00,6
4064140,2,1150.00,1
4064141,9,540.00,1
4064142,30,3840.00,9
4064143,7,133.00,3
4064144,14,7056.00,11
4064145,20,6380.00,12
4064146,23,3910.00,4
4064148,36,8676.00,9
4064149,50,7800.00,12
4064150,15,4830.00,6
4064147,24,5880.00,6
4064151,16,5568.00,10
4064152,52,16796.00,14
4064153,23,9683.00,5
4064154,51,7905.00,5
4064158,47,564.00,11
4064159,40,6640.00,10
4064160,50,2650.00,3
4064155,42,24528.00,13
4064156,19,9671.00,5
4064157,47,18048.00,7
4064163,4,1240.00,4
4064164,25,7600.00,13
4064165,7,3423.00,5
4064161,49,3185.00,7
4064162,14,5516.00,8
4064166,31,6014.00,13
4064167,26,3640.00,4
4064168,11,5830.00,12
4064169,43,15996.00,10
4064170,32,1728.00,3
4064171,35,9065.00,11
4064172,7,1092.00,3
4064176,7,2877.00,3
4064177,52,14924.00,4
4064178,50,19050.00,3
4064173,16,1056.00,9
4064174,6,2400.00,5
4064175,40,6480.00,12
4064179,23,3565.00,5
4064180,6,2802.00,4
4064181,43,16082.00,3
4064184,11,2662.00,7
4064185,35,3745.00,14
4064186,44,6248.00,9
4064187,51,7650.00,12
4064188,46,2392.00,9
4064189,48,16368.00,4
4064190,46,22632.00,5
4064191,28,3472.00,13
4064192,7,231.00,3
4064193,31,17577.00,5
4064194,12,7056.00,11
4064195,29,8932.00,7
4064196,31,682.00,14
4064197,44,14300.00,5
4064198,19,9044.00,14
4064199,30,17640.00,14
4064200,50,7700.00,11
4064201,14,2408.00,8
4064202,35,5040.00,5
4064182,19,6346.00,8
4064183,16,672.00,7
4064203,17,2108.00,13
4064204,9,3438.00,1
4064205,22,6886.00,9
4064206,39,7137.00,3
4064207,34,1326.00,9
4064208,4,1628.00,4
4064209,11,3366.00,3
4064210,39,18174.00,3
4064211,34,14178.00,11
4064212,22,9592.00,12
4064213,23,1518.00,13
4064214,16,3472.00,5
4064215,42,24108.00,5
4064219,1,477.00,1
4064220,21,336.00,5
4064221,24,3864.00,3
4064222,24,4704.00,4
4064223,17,4709.00,8
4064224,17,391.00,7
4064225,6,1116.00,1
4064226,30,480.00,10
4064227,30,14430.00,6
4064228,29,11136.00,9
4064229,43,1634.00,10
4064230,21,12159.00,13
4064231,14,4368.00,7
4064233,17,9894.00,8
4064234,6,2424.00,5
4064235,15,2160.00,7
4064236,6,576.00,5
4064237,50,7550.00,6
4064238,42,7476.00,6
4064239,37,4625.00,9
4064240,38,9728.00,7
4064232,44,16324.00,4
4064216,20,7920.00,4
4064217,25,11825.00,12
4064218,46,25806.00,14
4064244,38,9272.00,9
4064245,31,16833.00,11
4064246,25,14100.00,7
4064247,43,21457.00,12
4064248,8,3600.00,3
4064249,17,4233.00,6
4064250,44,21692.00,5
4064251,10,1190.00,4
4064252,48,12912.00,11
4064253,32,7936.00,4
4064254,20,7320.00,5
4064255,34,13736.00,12
4064256,49,18277.00,4
