RECORD_METADATA,CUSTOMER_ID,CALL_DURATION_MINUTES,CALL_ID,SENTIMENT
"{
  ""CreateTime"": 1687899449383,
  ""offset"": 989,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064050,14,11111206,-0.12
"{
  ""CreateTime"": 1687899450385,
  ""offset"": 990,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064051,6,11111207,-0.15
"{
  ""CreateTime"": 1687899451387,
  ""offset"": 991,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064051,6,11111208,0.80
"{
  ""CreateTime"": 1687899452389,
  ""offset"": 992,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064051,2,11111209,0.21
"{
  ""CreateTime"": 1687899453391,
  ""offset"": 993,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064052,7,11111210,0.22
"{
  ""CreateTime"": 1687899454393,
  ""offset"": 994,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064053,4,11111211,-0.83
"{
  ""CreateTime"": 1687899455394,
  ""offset"": 995,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064054,6,11111213,0.28
"{
  ""CreateTime"": 1687899456396,
  ""offset"": 996,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064054,6,11111212,-0.97
"{
  ""CreateTime"": 1687899457398,
  ""offset"": 997,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064055,3,11111215,-0.18
"{
  ""CreateTime"": 1687899458399,
  ""offset"": 998,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064055,7,11111217,-0.97
"{
  ""CreateTime"": 1687899409312,
  ""offset"": 949,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064036,3,11111167,-0.22
"{
  ""CreateTime"": 1687899410314,
  ""offset"": 950,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064036,4,11111168,0.30
"{
  ""CreateTime"": 1687899411316,
  ""offset"": 951,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064036,8,11111166,0.53
"{
  ""CreateTime"": 1687899412317,
  ""offset"": 952,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064037,6,11111172,0.94
"{
  ""CreateTime"": 1687899413319,
  ""offset"": 953,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064037,5,11111174,0.06
"{
  ""CreateTime"": 1687899414321,
  ""offset"": 954,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064037,3.5,11111169,0.96
"{
  ""CreateTime"": 1687899415322,
  ""offset"": 955,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064037,8,11111173,-0.79
"{
  ""CreateTime"": 1687899416323,
  ""offset"": 956,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064037,18,11111170,-0.48
"{
  ""CreateTime"": 1687899417325,
  ""offset"": 957,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064037,7,11111171,0.69
"{
  ""CreateTime"": 1687899418327,
  ""offset"": 958,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064038,8,11111175,0.40
"{
  ""CreateTime"": 1687899419328,
  ""offset"": 959,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064038,5,11111176,-0.29
"{
  ""CreateTime"": 1687899420330,
  ""offset"": 960,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064039,18,11111177,0.31
"{
  ""CreateTime"": 1687899421332,
  ""offset"": 961,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064039,6,11111181,-0.30
"{
  ""CreateTime"": 1687899422334,
  ""offset"": 962,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064039,5,11111180,-0.22
"{
  ""CreateTime"": 1687899423336,
  ""offset"": 963,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064039,14,11111178,-0.50
"{
  ""CreateTime"": 1687899424338,
  ""offset"": 964,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064039,3,11111179,0.51
"{
  ""CreateTime"": 1687899425341,
  ""offset"": 965,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064040,5,11111182,-0.12
"{
  ""CreateTime"": 1687899426342,
  ""offset"": 966,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064040,7,11111183,0.65
"{
  ""CreateTime"": 1687899427344,
  ""offset"": 967,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064041,14,11111184,0.53
"{
  ""CreateTime"": 1687899428346,
  ""offset"": 968,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064042,5,11111185,0.28
"{
  ""CreateTime"": 1687899429347,
  ""offset"": 969,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064043,3,11111186,-0.62
"{
  ""CreateTime"": 1687899430349,
  ""offset"": 970,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064044,14,11111190,-0.35
"{
  ""CreateTime"": 1687899431351,
  ""offset"": 971,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064044,4,11111187,-0.82
"{
  ""CreateTime"": 1687899432353,
  ""offset"": 972,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064044,12,11111189,-0.46
"{
  ""CreateTime"": 1687899433354,
  ""offset"": 973,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064044,6,11111188,-0.40
"{
  ""CreateTime"": 1687899434356,
  ""offset"": 974,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064045,3,11111191,0.55
"{
  ""CreateTime"": 1687899435358,
  ""offset"": 975,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064045,6,11111192,0.02
"{
  ""CreateTime"": 1687899436360,
  ""offset"": 976,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064046,5,11111193,-0.16
